Cancer_type	Phenotype	Genotype	signature
COAD	Stemness	transcript	(ENST00000450518 + ENST00000397388 + ENST00000480134 + ENST00000262844 + ENST00000361627 + ENST00000287394 + ENST00000321990 + ENST00000356836 + ENST00000246784 + ENST00000594157 + ENST00000560136 + ENST00000558825 + ENST00000355112 + ENST00000287598 + ENST00000559772 + ENST00000437745 + ENST00000405202 + ENST00000258761 + ENST00000529615 + ENST00000274026 + ENST00000310955 + ENST00000415130 + ENST00000493724 + ENST00000404724 + ENST00000263201 + ENST00000209728 + ENST00000521098 + ENST00000229265 + ENST00000446553 + ENST00000535871 + ENST00000604599 + ENST00000540683 + ENST00000535406 + ENST00000404147 + ENST00000275517 + ENST00000479032 + ENST00000327331 + ENST00000373055 + ENST00000556102 + ENST00000335183 + ENST00000395577 + ENST00000555837 + ENST00000380026 + ENST00000265148 + ENST00000283006 + ENST00000510742 + ENST00000356198 + ENST00000260662 + ENST00000309048 + ENST00000510146 + ENST00000502461 + ENST00000281453 + ENST00000368328 + ENST00000368326 + ENST00000496302 + ENST00000371485 + ENST00000314103 + ENST00000395422 + ENST00000559554 + ENST00000394802 + ENST00000378034 + ENST00000308987 + ENST00000368439 + ENST00000368436 + ENST00000511669 + ENST00000296026 + ENST00000265728 + ENST00000431138 + ENST00000525361 + ENST00000228264 + ENST00000265036 + ENST00000439211 + ENST00000400324 + ENST00000458725 + ENST00000449579 + ENST00000247191 + ENST00000395425 + ENST00000448110 + ENST00000373750 + ENST00000372715 + ENST00000379607 + ENST00000465535 + ENST00000523674 + ENST00000519030 + ENST00000427306 + ENST00000391945 + ENST00000524293 + ENST00000549154 + ENST00000257934 + ENST00000366548 + ENST00000521202 + ENST00000348581 + ENST00000221233 + ENST00000620384 + ENST00000341209 + ENST00000367128 + ENST00000310775 + ENST00000402774 + ENST00000236980 + ENST00000305885 + ENST00000358752 + ENST00000440082 + ENST00000409436 + ENST00000275428 + ENST00000409144 + ENST00000005374 + ENST00000253462 + ENST00000373365 + ENST00000331244 + ENST00000481034 + ENST00000356509 + ENST00000230056 + ENST00000295920 + ENST00000418458 + ENST00000557049 + ENST00000389614 + ENST00000454366 + ENST00000325418 + ENST00000368209 + ENST00000438704 + ENST00000446922 + ENST00000357065 + ENST00000356053 + ENST00000254521 + ENST00000233893 + ENST00000409468 + ENST00000328221 + ENST00000326739 + ENST00000533004 + ENST00000361170 + ENST00000476565 + ENST00000271002 + ENST00000476508 + ENST00000260731 + ENST00000614960 + ENST00000508792 + ENST00000394894 + ENST00000374403 + ENST00000526913 + ENST00000346991 + ENST00000608100 + ENST00000416151 + ENST00000436959 + ENST00000290158 + ENST00000452107 + ENST00000460719 + ENST00000628516 + ENST00000412500 + ENST00000523847 + ENST00000296509 + ENST00000333047 + ENST00000371470 + ENST00000371466 + ENST00000378714 + ENST00000265056 + ENST00000421471 + ENST00000521151 + ENST00000521261 + ENST00000264156 + ENST00000265187 + ENST00000301585 + ENST00000543555 + ENST00000382723 + ENST00000419385 + ENST00000355143 + ENST00000409601 + ENST00000394053 + ENST00000409804 + ENST00000470592 + ENST00000367814 + ENST00000460996 + ENST00000370009 + ENST00000464845 + ENST00000394074 + ENST00000251496 + ENST00000514176 + ENST00000435349 + ENST00000240423 + ENST00000356936 + ENST00000453992 + ENST00000413172 + ENST00000264596 + ENST00000366999 + ENST00000462283 + ENST00000355029 + ENST00000336097 + ENST00000393196 + ENST00000456492 + ENST00000511355 + ENST00000487481 + ENST00000475573 + ENST00000393183 + ENST00000371361 + ENST00000528627 + ENST00000258662 + ENST00000271452 + ENST00000367900 + ENST00000552283 + ENST00000251074 + ENST00000414849 + ENST00000220514 + ENST00000282549 + ENST00000303305 + ENST00000453867 + ENST00000571178 + ENST00000318059 + ENST00000573614 + ENST00000521586 + ENST00000379143 + ENST00000392090 + ENST00000537445 + ENST00000586035 + ENST00000590247 + ENST00000509581 + ENST00000381033 + ENST00000617560 + ENST00000265465 + ENST00000527618 + ENST00000514483 + ENST00000465342 + ENST00000481437 + ENST00000355968 + ENST00000620047 + ENST00000415933 + ENST00000445439 + ENST00000361188 + ENST00000556972 + ENST00000394249 + ENST00000442656 + ENST00000352435 + ENST00000347941 + ENST00000552590 + ENST00000338193 + ENST00000331079 + ENST00000526583 + ENST00000578542 + ENST00000262293 + ENST00000216455 + ENST00000490870 + ENST00000425762 + ENST00000293362 + ENST00000341369 + ENST00000409115 + ENST00000527079 + ENST00000352433 + ENST00000520452 + ENST00000517480 + ENST00000473336 + ENST00000487325 + ENST00000434288 + ENST00000336148 + ENST00000297592 + ENST00000320676 + ENST00000373832 + ENST00000620284 + ENST00000055077 + ENST00000380071 + ENST00000478599 + ENST00000593017 + ENST00000590121 + ENST00000590279 + ENST00000221486 + ENST00000441031 + ENST00000584056 + ENST00000479035 + ENST00000589037 + ENST00000253788 + ENST00000589913 + ENST00000495383 + ENST00000486565 + ENST00000294189 + ENST00000394665 + ENST00000404735 + ENST00000272317 + ENST00000315377 + ENST00000462343 + ENST00000304567 + ENST00000607140 + ENST00000366932 + ENST00000320270 + ENST00000395260 + ENST00000478892 + ENST00000322623 + ENST00000596247 + ENST00000221413 + ENST00000409687 + ENST00000564272 + ENST00000303383 + ENST00000481185 + ENST00000483178 + ENST00000460783 + ENST00000429429 + ENST00000311161 + ENST00000540386 + ENST00000541567 + ENST00000529462 + ENST00000392826 + ENST00000483436 + ENST00000521399 + ENST00000585486 + ENST00000592540 + ENST00000423325 + ENST00000361690 + ENST00000466490 + ENST00000371877 + ENST00000305218 + ENST00000619795 + ENST00000356493 + ENST00000378331 + ENST00000378325 + ENST00000550407 + ENST00000397122 + ENST00000429772 + ENST00000266732 + ENST00000556029 + ENST00000548760 + ENST00000497613 + ENST00000409379 + ENST00000392482 + ENST00000546954 + ENST00000251413 + ENST00000581920 + ENST00000379239 + ENST00000589978 + ENST00000587845 + ENST00000264552 + ENST00000242576 + ENST00000311672 + ENST00000562237 + ENST00000567500 + ENST00000295156 + ENST00000457525 + ENST00000360586 + ENST00000567693 + ENST00000349139 + ENST00000330317 + ENST00000358625 + ENST00000401500 + ENST00000587391 + ENST00000265351 + ENST00000332707 + ENST00000495707 + ENST00000359321 + ENST00000555055 + ENST00000577961)
COAD	Stemness	transcript	(ENST00000625277 + ENST00000437930 + ENST00000596007 + ENST00000523236 + ENST00000265769 + ENST00000437154 + ENST00000380573 + ENST00000519229 + ENST00000380582 + ENST00000373210 + ENST00000466820 + ENST00000354567 + ENST00000319580 + ENST00000496660 + ENST00000383168 + ENST00000420843 + ENST00000532525 + ENST00000295748 + ENST00000479665 + ENST00000313005 + ENST00000392937 + ENST00000573503 + ENST00000296424 + ENST00000515059 + ENST00000348343 + ENST00000510997 + ENST00000394522 + ENST00000322680 + ENST00000394762 + ENST00000546424 + ENST00000498619 + ENST00000303927 + ENST00000524852 + ENST00000532354 + ENST00000356522 + ENST00000310833 + ENST00000536610 + ENST00000544344 + ENST00000437800 + ENST00000440480 + ENST00000471157 + ENST00000569430 + ENST00000359759 + ENST00000355480 + ENST00000369802 + ENST00000329608 + ENST00000524463 + ENST00000546745 + ENST00000548218 + ENST00000551354 + ENST00000548768 + ENST00000052754 + ENST00000393155 + ENST00000552962 + ENST00000552145 + ENST00000547937 + ENST00000549513 + ENST00000420120 + ENST00000550758 + ENST00000547568 + ENST00000358919 + ENST00000276297 + ENST00000512044 + ENST00000406659 + ENST00000239223 + ENST00000217182 + ENST00000524932 + ENST00000373203 + ENST00000263734 + ENST00000465318 + ENST00000369303 + ENST00000264658 + ENST00000341590 + ENST00000395631 + ENST00000557255 + ENST00000343279 + ENST00000426200 + ENST00000430166 + ENST00000358487 + ENST00000346997 + ENST00000613048 + ENST00000461699 + ENST00000389168 + ENST00000285071 + ENST00000473853 + ENST00000579294 + ENST00000545457 + ENST00000327031 + ENST00000464690 + ENST00000468098 + ENST00000295633 + ENST00000471389 + ENST00000268349 + ENST00000505913 + ENST00000253408 + ENST00000438980 + ENST00000440944 + ENST00000296734 + ENST00000446876 + ENST00000623091 + ENST00000439977 + ENST00000542496 + ENST00000541798 + ENST00000341500 + ENST00000443694 + ENST00000478515 + ENST00000463980 + ENST00000357086 + ENST00000497571 + ENST00000377126 + ENST00000382592 + ENST00000486535 + ENST00000555379 + ENST00000264094 + ENST00000393937 + ENST00000557942 + ENST00000354410 + ENST00000298894 + ENST00000562017 + ENST00000563985 + ENST00000264198 + ENST00000037502 + ENST00000579237 + ENST00000443061 + ENST00000425538 + ENST00000359263 + ENST00000533073 + ENST00000621128 + ENST00000528158 + ENST00000316851 + ENST00000397858 + ENST00000610854 + ENST00000298352 + ENST00000367511 + ENST00000441012 + ENST00000581312 + ENST00000302632 + ENST00000280154 + ENST00000498367 + ENST00000481353 + ENST00000483670 + ENST00000598410 + ENST00000577253 + ENST00000317276 + ENST00000262039 + ENST00000334661 + ENST00000418087 + ENST00000369126 + ENST00000492304 + ENST00000477309 + ENST00000607609 + ENST00000504198 + ENST00000394411 + ENST00000394409 + ENST00000530902 + ENST00000306156 + ENST00000302472 + ENST00000458477 + ENST00000495720 + ENST00000356940 + ENST00000468148 + ENST00000317483 + ENST00000512351 + ENST00000381132 + ENST00000481448 + ENST00000343529 + ENST00000367559 + ENST00000587250 + ENST00000359524 + ENST00000478660 + ENST00000305352 + ENST00000475821 + ENST00000251091 + ENST00000392067 + ENST00000554335 + ENST00000307712 + ENST00000393078 + ENST00000266066 + ENST00000463546 + ENST00000373212 + ENST00000324225 + ENST00000431081 + ENST00000503823 + ENST00000503837 + ENST00000504154 + ENST00000262158 + ENST00000589634 + ENST00000545051 + ENST00000483064 + ENST00000330871 + ENST00000568862 + ENST00000533968 + ENST00000503676 + ENST00000544439 + ENST00000488564 + ENST00000402696 + ENST00000295754 + ENST00000617924 + ENST00000448587 + ENST00000356107 + ENST00000614355 + ENST00000570586 + ENST00000424486 + ENST00000575734 + ENST00000234831 + ENST00000297459 + ENST00000448464 + ENST00000374810 + ENST00000374809 + ENST00000302424 + ENST00000460401 + ENST00000476941 + ENST00000344327 + ENST00000353364 + ENST00000510338)
COAD	Stemness	transcript	(ENST00000396233 + ENST00000539864 + ENST00000538526 + ENST00000296412 + ENST00000265343 + ENST00000449651 + ENST00000482406 + ENST00000403729 + ENST00000292807 + ENST00000264914 + ENST00000359933 + ENST00000589222 + ENST00000261192 + ENST00000392474 + ENST00000336454 + ENST00000361544 + ENST00000462827 + ENST00000434319 + ENST00000361866 + ENST00000498614 + ENST00000612273 + ENST00000296953 + ENST00000551836 + ENST00000329146 + ENST00000339438 + ENST00000260818 + ENST00000527969 + ENST00000531972 + ENST00000526624 + ENST00000533347 + ENST00000342981 + ENST00000602326 + ENST00000282041 + ENST00000394329 + ENST00000335110 + ENST00000037243 + ENST00000369236 + ENST00000490345 + ENST00000355422 + ENST00000439649 + ENST00000618759 + ENST00000395925 + ENST00000428534 + ENST00000437480 + ENST00000450617 + ENST00000443617 + ENST00000587965 + ENST00000411503 + ENST00000311890 + ENST00000406363 + ENST00000374695 + ENST00000439717 + ENST00000374673 + ENST00000530761 + ENST00000525467 + ENST00000227752 + ENST00000529924 + ENST00000373298 + ENST00000434584 + ENST00000366784 + ENST00000209884 + ENST00000328879 + ENST00000349533 + ENST00000616738 + ENST00000548010 + ENST00000428839 + ENST00000249363 + ENST00000289893 + ENST00000372925 + ENST00000494012 + ENST00000602117 + ENST00000259050 + ENST00000324196 + ENST00000282486 + ENST00000478535 + ENST00000464596 + ENST00000357472 + ENST00000459747 + ENST00000460591 + ENST00000371945 + ENST00000333027 + ENST00000571910 + ENST00000573908 + ENST00000452625 + ENST00000396324 + ENST00000570785 + ENST00000571505 + ENST00000576790 + ENST00000576164 + ENST00000361007 + ENST00000575158 + ENST00000344586 + ENST00000312521 + ENST00000263246 + ENST00000374794 + ENST00000444465 + ENST00000530692 + ENST00000237596 + ENST00000486277 + ENST00000478803 + ENST00000375108 + ENST00000428675 + ENST00000265626 + ENST00000336615 + ENST00000633965 + ENST00000591760 + ENST00000223271 + ENST00000216127 + ENST00000328381 + ENST00000326132 + ENST00000373001 + ENST00000492783 + ENST00000415452 + ENST00000455600 + ENST00000361226 + ENST00000337002 + ENST00000215730 + ENST00000381873 + ENST00000614659 + ENST00000237642 + ENST00000537952 + ENST00000369448 + ENST00000541517 + ENST00000231524 + ENST00000376531 + ENST00000395544 + ENST00000361658 + ENST00000417901 + ENST00000372429 + ENST00000530271 + ENST00000498077 + ENST00000264951 + ENST00000347230 + ENST00000433686 + ENST00000598497 + ENST00000596372 + ENST00000240727 + ENST00000594191 + ENST00000600845)
COAD	Stemness	transcript	(ENST00000581602 + ENST00000361673 + ENST00000273258 + ENST00000265138 + ENST00000357681 + ENST00000331593 + ENST00000334746 + ENST00000552315 + ENST00000541434 + ENST00000410068 + ENST00000512453 + ENST00000341926 + ENST00000566515 + ENST00000296140 + ENST00000324106 + ENST00000312648 + ENST00000304636 + ENST00000511992 + ENST00000264229 + ENST00000357640 + ENST00000477586 + ENST00000249356 + ENST00000393555 + ENST00000344096 + ENST00000242480 + ENST00000317216 + ENST00000466015 + ENST00000523843 + ENST00000489405 + ENST00000428835 + ENST00000496318 + ENST00000160262 + ENST00000611722 + ENST00000290219 + ENST00000371666 + ENST00000337929 + ENST00000216223 + ENST00000393593 + ENST00000559876 + ENST00000296181 + ENST00000496703 + ENST00000481591 + ENST00000461306 + ENST00000367264 + ENST00000395676 + ENST00000336890 + ENST00000538333 + ENST00000231004 + ENST00000584915 + ENST00000464060 + ENST00000512290 + ENST00000334350 + ENST00000332374 + ENST00000264444 + ENST00000302125 + ENST00000518363 + ENST00000373312 + ENST00000407032 + ENST00000424608 + ENST00000366554 + ENST00000490673 + ENST00000354513 + ENST00000274793 + ENST00000519510 + ENST00000481823 + ENST00000258526 + ENST00000512744 + ENST00000531239 + ENST00000325642 + ENST00000370685 + ENST00000585981 + ENST00000223423 + ENST00000361195 + ENST00000537883 + ENST00000307439 + ENST00000343817 + ENST00000467549 + ENST00000379958 + ENST00000550948 + ENST00000478975 + ENST00000369452 + ENST00000345317 + ENST00000265113 + ENST00000256637 + ENST00000261503 + ENST00000581399 + ENST00000462448 + ENST00000319357 + ENST00000524970 + ENST00000528295 + ENST00000258412 + ENST00000392806 + ENST00000173898 + ENST00000373192 + ENST00000335350 + ENST00000505615 + ENST00000265077 + ENST00000343200 + ENST00000430365)
COAD	Stemness	transcript	(ENST00000488967 + ENST00000557860 + ENST00000290378 + ENST00000284987 + ENST00000389863 + ENST00000379453 + ENST00000305988 + ENST00000431035 + ENST00000484746 + ENST00000322611 + ENST00000586876 + ENST00000479784 + ENST00000495841 + ENST00000439685 + ENST00000471629 + ENST00000372865 + ENST00000341529 + ENST00000435907 + ENST00000336557 + ENST00000342213 + ENST00000252456 + ENST00000378980 + ENST00000460971 + ENST00000617462 + ENST00000628346 + ENST00000519868 + ENST00000595022 + ENST00000313708 + ENST00000618155 + ENST00000406555 + ENST00000614832 + ENST00000267620 + ENST00000560355 + ENST00000463473 + ENST00000370683 + ENST00000630677 + ENST00000368682 + ENST00000241337 + ENST00000479019 + ENST00000515310 + ENST00000503474 + ENST00000574151 + ENST00000399849 + ENST00000503639 + ENST00000337881 + ENST00000450510 + ENST00000549628 + ENST00000548547 + ENST00000301464 + ENST00000560241 + ENST00000553804 + ENST00000618048 + ENST00000370526 + ENST00000444114 + ENST00000411482 + ENST00000495021 + ENST00000262041 + ENST00000607272 + ENST00000299964 + ENST00000541754 + ENST00000535401 + ENST00000546313 + ENST00000317775 + ENST00000342694 + ENST00000173229 + ENST00000394480 + ENST00000320580 + ENST00000588495 + ENST00000599801 + ENST00000264360 + ENST00000507536 + ENST00000504318 + ENST00000314922 + ENST00000355680 + ENST00000396168 + ENST00000375708 + ENST00000371122 + ENST00000487836 + ENST00000297316 + ENST00000409341 + ENST00000418378 + ENST00000282470 + ENST00000357585 + ENST00000369146 + ENST00000375190 + ENST00000556674 + ENST00000555933 + ENST00000445561 + ENST00000322128 + ENST00000259818 + ENST00000264071 + ENST00000374279 + ENST00000437232 + ENST00000376701 + ENST00000375169 + ENST00000585928 + ENST00000577775 + ENST00000599328 + ENST00000594517)
COAD	Stemness	transcript	(ENST00000296577 + ENST00000466237 + ENST00000332810 + ENST00000574444 + ENST00000225698 + ENST00000405362 + ENST00000367679 + ENST00000452673 + ENST00000521815 + ENST00000500112 + ENST00000452490 + ENST00000618078 + ENST00000262643 + ENST00000357943 + ENST00000397066 + ENST00000367047 + ENST00000257904 + ENST00000551706 + ENST00000256443 + ENST00000295304 + ENST00000301280 + ENST00000481530 + ENST00000314355 + ENST00000262982 + ENST00000488558 + ENST00000425653 + ENST00000278903 + ENST00000450253 + ENST00000338825 + ENST00000520657 + ENST00000433644 + ENST00000260665 + ENST00000303887 + ENST00000489841 + ENST00000536987 + ENST00000543751 + ENST00000354503 + ENST00000456345 + ENST00000581523 + ENST00000583705 + ENST00000495910 + ENST00000356714 + ENST00000234111 + ENST00000405333 + ENST00000520868 + ENST00000419505 + ENST00000382240 + ENST00000262300 + ENST00000575981 + ENST00000575040 + ENST00000301522 + ENST00000391851 + ENST00000454376 + ENST00000431558 + ENST00000550847 + ENST00000454520 + ENST00000312377 + ENST00000525066 + ENST00000382643 + ENST00000406109 + ENST00000396682 + ENST00000223129 + ENST00000307839 + ENST00000221975 + ENST00000322030 + ENST00000556798 + ENST00000557433 + ENST00000556825 + ENST00000557487 + ENST00000478146 + ENST00000277010 + ENST00000497006 + ENST00000565644 + ENST00000585030 + ENST00000578968 + ENST00000437681 + ENST00000580682 + ENST00000321765 + ENST00000582730 + ENST00000343255 + ENST00000278412 + ENST00000394335 + ENST00000455785 + ENST00000300403 + ENST00000510412 + ENST00000166345 + ENST00000508430 + ENST00000230510 + ENST00000369798 + ENST00000406620 + ENST00000460852 + ENST00000487227 + ENST00000484447 + ENST00000409470 + ENST00000247843)
COAD	Stemness	transcript	(ENST00000285093 + ENST00000455443 + ENST00000303714 + ENST00000295974 + ENST00000263574 + ENST00000452383 + ENST00000334211 + ENST00000311956 + ENST00000428670 + ENST00000374825 + ENST00000537058 + ENST00000409998 + ENST00000469554 + ENST00000261415 + ENST00000295550 + ENST00000392003 + ENST00000488741 + ENST00000285311 + ENST00000525493 + ENST00000396505 + ENST00000598235 + ENST00000523351 + ENST00000457059 + ENST00000453032 + ENST00000356467 + ENST00000316623 + ENST00000265094 + ENST00000442471 + ENST00000533312 + ENST00000441680 + ENST00000370676 + ENST00000535737 + ENST00000527767 + ENST00000504715 + ENST00000462856 + ENST00000432992 + ENST00000223145 + ENST00000329125 + ENST00000329797 + ENST00000392585 + ENST00000267549 + ENST00000560830 + ENST00000334575 + ENST00000511108 + ENST00000409843 + ENST00000434550 + ENST00000317745 + ENST00000390548 + ENST00000513000 + ENST00000372403 + ENST00000367265 + ENST00000366559 + ENST00000423853 + ENST00000389658 + ENST00000222399 + ENST00000497477 + ENST00000360595 + ENST00000453507 + ENST00000479967 + ENST00000476682 + ENST00000303375 + ENST00000532073 + ENST00000457356 + ENST00000522519 + ENST00000590242 + ENST00000469404 + ENST00000452400 + ENST00000379446 + ENST00000542977 + ENST00000375486 + ENST00000512127 + ENST00000552990 + ENST00000506979 + ENST00000324093 + ENST00000425171 + ENST00000543697 + ENST00000533961 + ENST00000382040 + ENST00000355014 + ENST00000407929 + ENST00000263980 + ENST00000371121 + ENST00000457226 + ENST00000566279 + ENST00000565360 + ENST00000361424 + ENST00000403410 + ENST00000407482 + ENST00000367023 + ENST00000375022 + ENST00000453304 + ENST00000453200 + ENST00000590297 + ENST00000539284)
COAD	Stemness	transcript	(ENST00000539638 + ENST00000497324 + ENST00000462568 + ENST00000472360 + ENST00000318602 + ENST00000515401 + ENST00000497524 + ENST00000349243 + ENST00000359755 + ENST00000354675 + ENST00000378827 + ENST00000283147 + ENST00000382065 + ENST00000231338 + ENST00000302014 + ENST00000359156 + ENST00000537626 + ENST00000537044 + ENST00000563332 + ENST00000567695 + ENST00000522713 + ENST00000369499 + ENST00000369501 + ENST00000551417 + ENST00000503763 + ENST00000274368 + ENST00000436437 + ENST00000357033 + ENST00000358062 + ENST00000343523 + ENST00000541735 + ENST00000360067 + ENST00000480308 + ENST00000418842 + ENST00000476492 + ENST00000414829 + ENST00000490660 + ENST00000570306 + ENST00000395604 + ENST00000609507 + ENST00000393045 + ENST00000393046 + ENST00000570196 + ENST00000567980 + ENST00000449182 + ENST00000474500 + ENST00000356415 + ENST00000369709 + ENST00000235382 + ENST00000483295 + ENST00000464302 + ENST00000313961 + ENST00000558904 + ENST00000335670 + ENST00000291700 + ENST00000367071 + ENST00000397648 + ENST00000262878 + ENST00000518385 + ENST00000522911 + ENST00000302190 + ENST00000448879 + ENST00000220772 + ENST00000549258 + ENST00000382120 + ENST00000586057 + ENST00000266085 + ENST00000318430 + ENST00000558056 + ENST00000581616 + ENST00000261652 + ENST00000413146 + ENST00000245912 + ENST00000599359 + ENST00000618336 + ENST00000455332 + ENST00000525735 + ENST00000439696)
COAD	Stemness	transcript	(ENST00000297450 + ENST00000517746 + ENST00000308731 + ENST00000488970 + ENST00000332018 + ENST00000348628 + ENST00000336838 + ENST00000436346 + ENST00000412148 + ENST00000315599 + ENST00000518797 + ENST00000471344 + ENST00000510710 + ENST00000279804 + ENST00000482054 + ENST00000259371 + ENST00000408936 + ENST00000614176 + ENST00000498215 + ENST00000397088 + ENST00000470994 + ENST00000409458 + ENST00000479625 + ENST00000406451 + ENST00000411993 + ENST00000622668 + ENST00000405010 + ENST00000417496 + ENST00000471071 + ENST00000423557 + ENST00000344086 + ENST00000622330 + ENST00000368485 + ENST00000420936 + ENST00000396751 + ENST00000299421 + ENST00000498666 + ENST00000559488 + ENST00000412167 + ENST00000288135 + ENST00000430804 + ENST00000343742 + ENST00000479187 + ENST00000298910 + ENST00000418533 + ENST00000451708 + ENST00000545796 + ENST00000318065 + ENST00000253506 + ENST00000461406 + ENST00000394464 + ENST00000394466 + ENST00000430081 + ENST00000521381 + ENST00000318974 + ENST00000394081 + ENST00000342245 + ENST00000534405 + ENST00000531303 + ENST00000394991 + ENST00000420646 + ENST00000508895 + ENST00000394986 + ENST00000360658 + ENST00000322272 + ENST00000462811 + ENST00000462619 + ENST00000548363 + ENST00000301071 + ENST00000550767 + ENST00000295766 + ENST00000603679 + ENST00000597629)
COAD	Stemness	transcript	(ENST00000388820 + ENST00000409236 + ENST00000440445 + ENST00000317233 + ENST00000397843 + ENST00000262865 + ENST00000253407 + ENST00000393975 + ENST00000295297 + ENST00000595464 + ENST00000600626 + ENST00000491104 + ENST00000335762 + ENST00000399655 + ENST00000400888 + ENST00000445132 + ENST00000598473 + ENST00000421133 + ENST00000601785 + ENST00000563255 + ENST00000544751 + ENST00000361682 + ENST00000467903 + ENST00000496692 + ENST00000473530 + ENST00000396947 + ENST00000442581 + ENST00000447092 + ENST00000428028 + ENST00000428279 + ENST00000409329 + ENST00000424272 + ENST00000409589 + ENST00000410023 + ENST00000282588 + ENST00000251377 + ENST00000391737 + ENST00000391738 + ENST00000356113 + ENST00000414170 + ENST00000299766 + ENST00000461114 + ENST00000423968 + ENST00000621127 + ENST00000474559 + ENST00000554050 + ENST00000250373 + ENST00000506666 + ENST00000503451 + ENST00000267460 + ENST00000559044 + ENST00000252590 + ENST00000221138 + ENST00000334133 + ENST00000476532 + ENST00000304460 + ENST00000261854 + ENST00000388887 + ENST00000301959 + ENST00000414498 + ENST00000380079 + ENST00000557275 + ENST00000259075 + ENST00000510552 + ENST00000587837 + ENST00000470317 + ENST00000394957 + ENST00000481568)
COAD	Stemness	transcript	(ENST00000499762 + ENST00000594810 + ENST00000493124 + ENST00000625328 + ENST00000471990 + ENST00000631269 + ENST00000474313 + ENST00000470447 + ENST00000380718 + ENST00000489330 + ENST00000337414 + ENST00000358385 + ENST00000441560 + ENST00000539242 + ENST00000260502 + ENST00000490639 + ENST00000481169 + ENST00000264613 + ENST00000494544 + ENST00000544053 + ENST00000256951 + ENST00000536383 + ENST00000442170 + ENST00000262722 + ENST00000476366 + ENST00000327858 + ENST00000437711 + ENST00000465578 + ENST00000340923 + ENST00000402984 + ENST00000226067 + ENST00000258400 + ENST00000521416 + ENST00000511561 + ENST00000453190 + ENST00000263409 + ENST00000442176 + ENST00000400314 + ENST00000400310 + ENST00000613372 + ENST00000429980 + ENST00000442069 + ENST00000598842 + ENST00000533548 + ENST00000526816 + ENST00000342301 + ENST00000270570 + ENST00000538513)
COAD	Stemness	transcript	(ENST00000380050 + ENST00000334035 + ENST00000265085 + ENST00000519152 + ENST00000353267 + ENST00000415555 + ENST00000458105 + ENST00000367921 + ENST00000367922 + ENST00000452337 + ENST00000440439 + ENST00000355426 + ENST00000366641 + ENST00000534549 + ENST00000533711 + ENST00000299106 + ENST00000532165 + ENST00000257408 + ENST00000625013 + ENST00000426635 + ENST00000627717 + ENST00000515093 + ENST00000502983 + ENST00000508569 + ENST00000256646 + ENST00000517488 + ENST00000520579 + ENST00000409972 + ENST00000474820 + ENST00000348849 + ENST00000474147 + ENST00000354914 + ENST00000380385 + ENST00000514985 + ENST00000512980 + ENST00000505309 + ENST00000510965 + ENST00000549510 + ENST00000549206 + ENST00000345851)
COAD	Stemness	transcript	(ENST00000272065 + ENST00000288207 + ENST00000497891 + ENST00000393980 + ENST00000523955 + ENST00000569022 + ENST00000001008 + ENST00000389266 + ENST00000340124 + ENST00000263181 + ENST00000360597 + ENST00000315579 + ENST00000534548 + ENST00000379161 + ENST00000284719 + ENST00000344357 + ENST00000428402 + ENST00000380258 + ENST00000300035 + ENST00000559519 + ENST00000354694 + ENST00000476531 + ENST00000468881 + ENST00000253107 + ENST00000486482 + ENST00000376588 + ENST00000347159 + ENST00000507439 + ENST00000372360 + ENST00000581068 + ENST00000330137 + ENST00000371755 + ENST00000535007 + ENST00000561095 + ENST00000595831 + ENST00000498097 + ENST00000229708 + ENST00000463370)
COAD	Stemness	transcript	(ENST00000340967 + ENST00000376049 + ENST00000606794 + ENST00000379731 + ENST00000513780 + ENST00000369318 + ENST00000011653 + ENST00000529974 + ENST00000480760 + ENST00000448301 + ENST00000368985 + ENST00000424703 + ENST00000480823 + ENST00000610579 + ENST00000378609 + ENST00000506123 + ENST00000334869 + ENST00000315707 + ENST00000326587 + ENST00000612661 + ENST00000311852 + ENST00000371489 + ENST00000590996 + ENST00000358127 + ENST00000377918 + ENST00000356327 + ENST00000585479 + ENST00000420510 + ENST00000515385 + ENST00000402687 + ENST00000419716 + ENST00000542783 + ENST00000452421 + ENST00000371337 + ENST00000371341 + ENST00000520788 + ENST00000591877 + ENST00000395477)
COAD	Stemness	transcript	(ENST00000431873 + ENST00000389048 + ENST00000618119 + ENST00000438077 + ENST00000232014 + ENST00000579591 + ENST00000276925 + ENST00000380142 + ENST00000458204 + ENST00000419398 + ENST00000252034 + ENST00000357036 + ENST00000492210 + ENST00000477397 + ENST00000380576 + ENST00000272167 + ENST00000222574 + ENST00000468410 + ENST00000463202 + ENST00000298251 + ENST00000353533 + ENST00000361733 + ENST00000361357 + ENST00000577395 + ENST00000310816 + ENST00000564854 + ENST00000395157 + ENST00000515400 + ENST00000512564 + ENST00000395169 + ENST00000508262 + ENST00000261537 + ENST00000332981 + ENST00000330688 + ENST00000383772 + ENST00000515726 + ENST00000167106)
